clarity,Sum of price,color
SI1,11448744,H
VS2,10364954,G
SI2,9534136,H
VS1,8874166,G
VS2,8268706,F
SI1,7915015,F
SI2,7773567,G
VS2,7758927,H
SI1,7670619,E
SI1,7625548,I
SI1,7458980,G
SI2,7196454,F
SI2,7149764,E
VS2,6794826,E
VS2,6652201,I
SI2,6386416,I
SI1,6199313,D
VVS2,5548744,G
SI2,5385609,D
VS1,5178723,F
VS1,4457123,I
VS1,4419625,H
VS2,4390522,D
SI1,3889536,J
VS2,3882384,J
VS1,3658913,E
VVS2,3388625,F
SI2,3123539,J
VVS1,2863954,G
VS1,2647378,J
VVS2,2477177,E
VS1,2136262,D
VVS1,2058339,F
VVS2,1853174,D
IF,1742021,G
VVS2,1610633,H
VVS1,1456202,E
VVS2,1083405,I
VVS1,1079710,H
IF,1059072,F
VVS1,742874,D
VVS1,722376,I
I1,721453,H
IF,684073,H
VVS2,673654,J
IF,606438,D
IF,579624,E
I1,531854,G
I1,477932,F
I1,395801,I
I1,355819,E
VVS1,298529,J
IF,285276,I
I1,262703,J
IF,171558,J
I1,162247,D
