color,cut,Sum of price
D,Fair,699443
D,Good,2254363
D,Ideal,7450854
D,Premium,5820962
D,Very Good,5250817
E,Fair,824838
E,Good,3194260
E,Ideal,10138238
E,Premium,8270443
E,Very Good,7715165
F,Fair,1194025
F,Good,3177637
F,Ideal,12912518
F,Premium,10081319
F,Very Good,8177367
G,Fair,1331126
G,Good,3591553
G,Ideal,18171930
G,Premium,13160170
G,Very Good,8903461
H,Fair,1556112
H,Good,3001931
H,Ideal,12115278
H,Premium,12311428
H,Very Good,8272552
I,Fair,819953
I,Good,2650994
I,Ideal,9317974
I,Premium,8491146
I,Very Good,6328079
J,Fair,592103
J,Good,1404271
J,Ideal,4406695
J,Premium,5086030
J,Very Good,3460182
